Organism	g00	KO	Function
mluteus16	g000749	"K00412,K02635,K03887,K03891,K15879"	cytochrome B
mluteus16	g001430	K00602	bifunctional purine biosynthesis protein PurH
mluteus16	g002649	K01937	Catalyzes the ATP-dependent amination of UTP to CTP with either L-glutamine or ammonia as the source of nitrogen (By similarity)
mluteus16	g003580	K08981	domain protein
mluteus16	g001148		Bacterial protein of unknown function (DUF885)
mluteus16	g003625	K07496	Transposase
mluteus16	g002766		Nad-dependent epimerase dehydratase
mluteus16	g004099	K12574	metallo-beta-lactamase
mluteus16	g003303		
mluteus16	g002592	K06020	"ABC transporter, ATP-binding protein"
mluteus16	g002453	"K02035,K12368,K15580,K19226"	"Extracellular solute-binding protein, family 5"
mluteus16	g000764	"K00666,K01897,K20034"	amp-dependent synthetase and ligase
mluteus16	g000314		Methyltransferase
mluteus16	g002711		Methyltransferase
mluteus16	g001567	K08884	Serine Threonine protein kinase
mluteus16	g004041	K01887	Arginyl-tRNA synthetase
mluteus16	g000959	"K05561,K05568"	monovalent cation H antiporter subunit D
mluteus16	g001399	K03657	UvrD/REP helicase N-terminal domain
mluteus16	g000930	"K02035,K12368,K15580,K19226"	"Extracellular solute-binding protein, family 5"
mluteus16	g002431		peptidase
mluteus16	g000637	K03303	l-lactate
mluteus16	g003028	K03303	l-lactate
mluteus16	g000177		Amino Acid
mluteus16	g002737	K01113	alkaline phosphatase
mluteus16	g003364		
mluteus16	g002811		AIPR protein
mluteus16	g001102	"K14337,K14339"	Membrane
mluteus16	g001276	"K01652,K03852"	"Acetolactate synthase, large subunit"
mluteus16	g003939	K00558	Cytosine-specific methyltransferase
mluteus16	g000692	"K06158,K18231,K19349"	abc transporter
mluteus16	g001538	K03688	ABC-1 domain protein
mluteus16	g001959	K03655	Transcriptional regulator
mluteus16	g003171	K03655	Transcriptional regulator
mluteus16	g003539	K03308	#NAME?
mluteus16	g003207	K07497	Transposase
mluteus16	g003207	K07497	Transposase
mluteus16	g003451	K03665	GTPase that associates with the 50S ribosomal subunit and may have a role during protein synthesis or ribosome biogenesis (By similarity)
mluteus16	g000850	K04077	Prevents misfolding and promotes the refolding and proper assembly of unfolded polypeptides generated under stress conditions (By similarity)
mluteus16	g001514	"K05561,K05568"	monovalent cation H antiporter subunit D
mluteus16	g001592	K18929	Iron-sulfur cluster binding protein
mluteus16	g001206		peptidase
mluteus16	g003941	K01113	alkaline phosphatase
mluteus16	g003393	"K10109,K15771"	permease
mluteus16	g003092	K01652	"Thiamine pyrophosphate enzyme, central domain"
mluteus16	g000811	K03727	helicase
mluteus16	g000376	"K10109,K15771"	permease
mluteus16	g000363	K08981	Membrane
mluteus16	g002047	K02111	Produces ATP from ADP in the presence of a proton gradient across the membrane. The alpha chain is a regulatory subunit (By similarity)
mluteus16	g003812	"K03307,K11928"	Sodium proline symporter
mluteus16	g001727	K01638	Malate synthase
mluteus16	g002904		NusB family
mluteus16	g003761	K07047	amidohydrolase
mluteus16	g000383	K07047	amidohydrolase
mluteus16	g002728	"K05561,K05568"	H antiporter subunit D
mluteus16	g001339		Fis family transcriptional regulator
mluteus16	g003064	K02433	Allows the formation of correctly charged Gln-tRNA(Gln) through the transamidation of misacylated Glu-tRNA(Gln) in organisms which lack glutaminyl-tRNA synthetase. The reaction takes place in the presence of glutamine and ATP through an activated gamma-phospho-Glu-tRNA(Gln) (By similarity)
mluteus16	g000144	K01874	Is required not only for elongation of protein synthesis but also for the initiation of all mRNA translation through initiator tRNA(fMet) aminoacylation (By similarity)
mluteus16	g003239	"K02476,K07700,K07701,K11637"	signal transduction histidine kinase regulating citrate malate metabolism
mluteus16	g000934	K14393	Sss sodium solute transporter
mluteus16	g000290	"K01951,K03790"	Catalyzes the synthesis of GMP from XMP (By similarity)
mluteus16	g000841		Major Facilitator superfamily
mluteus16	g001770	"K01090,K11890,K11915,K20074"	phosphatase
mluteus16	g002513		Cell envelope-related transcriptional attenuator domain
mluteus16	g001729	K01745	Histidine ammonia-lyase
mluteus16	g000318	"K00764,K03558"	glutamine phosphoribosylpyrophosphate amidotransferase
mluteus16	g000986		"glycosyl transferase, family 39"
mluteus16	g003633		
mluteus16	g001185	K04077	Prevents misfolding and promotes the refolding and proper assembly of unfolded polypeptides generated under stress conditions (By similarity)
mluteus16	g002586	K07391	Mg chelatase subunit ChlI
mluteus16	g001246	K01992	integral membrane transport protein
mluteus16	g000953	K01810	glucose-6-phosphate isomerase
mluteus16	g000330	"K00666,K01897"	Amp-dependent synthetase and ligase
mluteus16	g003531	K01262	Xaa-Pro aminopeptidase
mluteus16	g000525	K07071	epimerase
mluteus16	g004019	K02056	ABC transporter
mluteus16	g003024	K10218	dimethylmenaquinone methyltransferase
mluteus16	g002830	K06158	ABC transporter
mluteus16	g001836	K01524	ppx gppa phosphatase
mluteus16	g001261	K01925	Cell wall formation. Catalyzes the addition of glutamate to the nucleotide precursor UDP-N-acetylmuramoyl-L-alanine (UMA) (By similarity)
mluteus16	g001435	"K00058,K16843"	d-3-phosphoglycerate dehydrogenase
mluteus16	g001165	"K13745,K18966"	decarboxylase
mluteus16	g001528	"K00108,K17755"	Choline dehydrogenase
mluteus16	g000494		integral membrane protein
mluteus16	g003557	K03106	Involved in targeting and insertion of nascent membrane proteins into the cytoplasmic membrane. Binds to the hydrophobic signal sequence of the ribosome-nascent chain (RNC) as it emerges from the ribosomes. The SRP-RNC complex is then targeted to the cytoplasmic membrane where it interacts with the SRP receptor FtsY (By similarity)
mluteus16	g002743	K18929	Iron-sulfur cluster binding protein
mluteus16	g002658		Involved in chromosome
mluteus16	g002532	"K01966,K18472"	propionyl-CoA carboxylase
mluteus16	g002540	"K01657,K01665,K13950"	anthranilate synthase component i
mluteus16	g003705	K02283	type II secretion system protein E
mluteus16	g000627	K01895	Amp-dependent synthetase and ligase
mluteus16	g000484	K03319	#NAME?
mluteus16	g003142	K00425	(Ubiquinol oxidase) subunit I
mluteus16	g001562	"K17758,K17759"	YjeF-related protein N-terminus
mluteus16	g003182		mechanosensitive ion channel
mluteus16	g002575	"K01885,K09698"	Catalyzes the attachment of glutamate to tRNA(Glu) in a two-step reaction glutamate is first activated by ATP to form Glu-AMP and then transferred to the acceptor end of tRNA(Glu) (By similarity)
mluteus16	g001973	K06147	"ABC-type multidrug protein lipid transport system, ATPase"
mluteus16	g002642	K00425	(Ubiquinol oxidase) subunit I
mluteus16	g000705	K08253	Capsular exopolysaccharide family
mluteus16	g003665	"K01969,K15052"	carboxylase
mluteus16	g003617	K07085	YidE YbjL
mluteus16	g001015	"K01147,K12573"	ribonuclease
mluteus16	g000307	"K01697,K01738"	cysteine synthase
mluteus16	g003856	"K03379,K07222"	monooxygenase
mluteus16	g002718	"K00423,K06324"	Multicopper oxidase
mluteus16	g002923	K19132	
mluteus16	g001113	K03427	type I restriction-modification system
mluteus16	g000206	K00036	glucose-6-phosphate 1-dehydrogenase
mluteus16	g002046	K03310	amino acid carrier protein
mluteus16	g003654	K00033	"Catalyzes the oxidative decarboxylation of 6- phosphogluconate to ribulose 5-phosphate and CO(2), with concomitant reduction of NADP to NADPH (By similarity)"
mluteus16	g003133		
mluteus16	g000062		Conserved domain protein
mluteus16	g000053		DNA methyltransferase
mluteus16	g003757	K03310	amino acid carrier protein
mluteus16	g003969	K11754	folylpolyglutamate synthase
mluteus16	g002794		Oxidoreductase
mluteus16	g000194	"K01657,K13503"	anthranilate synthase component i
mluteus16	g002741	K03307	symporter
mluteus16	g000789	K06168	"Catalyzes the methylthiolation of N6- (dimethylallyl)adenosine (i(6)A), leading to the formation of 2- methylthio-N6-(dimethylallyl)adenosine (ms(2)i(6)A) at position 37 in tRNAs that read codons beginning with uridine (By similarity)"
mluteus16	g001375	K03979	"An essential GTPase which binds GTP, GDP and possibly (p)ppGpp with moderate affinity, with high nucleotide exchange rates and a fairly low GTP hydrolysis rate (By similarity). It may play a role in control of the cell cycle, stress response, ribosome biogenesis and in those bacteria that undergo differentiation, in morphogenesis control"
mluteus16	g002423	K02313	it binds specifically double-stranded DNA at a 9 bp consensus (dnaA box) 5'-TTATC CA A CA A-3'. DnaA binds to ATP and to acidic phospholipids (By similarity)
mluteus16	g002539	K02011	Binding-protein-dependent transport systems inner membrane component
mluteus16	g003759	"K01077,K01113"	alkaline phosphatase
mluteus16	g003333	K03321	transporter
mluteus16	g002310		
mluteus16	g000341		UPF0371 protein
mluteus16	g000588	K03310	amino acid carrier protein
mluteus16	g003525	K00151	Aldehyde dehydrogenase
mluteus16	g003231	K00088	"Catalyzes the conversion of inosine 5'-phosphate (IMP) to xanthosine 5'-phosphate (XMP), the first committed and rate- limiting step in the de novo synthesis of guanine nucleotides, and therefore plays an important role in the regulation of cell growth (By similarity)"
mluteus16	g003193		Nuclease-related domain
mluteus16	g001046	K03307	symporter
mluteus16	g003937	"K00058,K03977"	GTPase that plays an essential role in the late steps of ribosome biogenesis (By similarity)
mluteus16	g000230		ATPase involved in DNA repair
mluteus16	g003684	K00864	Key enzyme in the regulation of glycerol uptake and metabolism (By similarity)
mluteus16	g000708		
mluteus16	g002914	"K01255,K07751"	Presumably involved in the processing and regular turnover of intracellular proteins. Catalyzes the removal of unsubstituted N-terminal amino acids from various peptides (By similarity)
mluteus16	g000176	"K00274,K03343"	amine oxidase
mluteus16	g002812		integral membrane protein
mluteus16	g000654		F420-0:Gamma-glutamyl ligase
mluteus16	g003553		Glycosyl transferases group 1
mluteus16	g001983	"K02316,K03086"	Sigma factors are initiation factors that promote the attachment of RNA polymerase to specific initiation sites and are then released (By similarity)
mluteus16	g000915	"K02476,K07700,K07701,K11637"	signal transduction histidine kinase regulating citrate malate metabolism
mluteus16	g003042	K00140	methylmalonate-semialdehyde dehydrogenase
mluteus16	g000409	K01720	2-methylcitrate dehydratase
mluteus16	g001066		Integrase catalytic subunit
mluteus16	g003522	"K00128,K00138,K18370"	Aldehyde dehydrogenase
mluteus16	g000463		Glycosyl transferases group 1
mluteus16	g001011	K02033	Binding-protein-dependent transport systems inner membrane component
mluteus16	g003517	K03321	transporter
mluteus16	g000845	K03321	transporter
mluteus16	g000556	K04567	lysyl-tRNA synthetase
mluteus16	g001262	K01929	Involved in cell wall formation. Catalyzes the final step in the synthesis of UDP-N-acetylmuramoyl-pentapeptide the precursor of murein (By similarity)
mluteus16	g001537	"K01067,K18118"	transferase
mluteus16	g000921	K03781	Catalase (EC 1.11.1.6)
mluteus16	g000766	K01897	Amp-dependent synthetase and ligase
mluteus16	g001554		
mluteus16	g003903	K01426	Amidase
mluteus16	g001362	K08167	Major facilitator superfamily
mluteus16	g000840	K00936	Histidine kinase
mluteus16	g001069	K03307	Sodium:solute symporter family
mluteus16	g002670	K00231	protoporphyrinogen oxidase
mluteus16	g001500	K09835	FAD dependent oxidoreductase
mluteus16	g003907	K07793	integral membrane protein
mluteus16	g000564	K00128	Aldehyde dehydrogenase
mluteus16	g001150	K02434	Allows the formation of correctly charged Asn-tRNA(Asn) or Gln-tRNA(Gln) through the transamidation of misacylated Asp- tRNA(Asn) or Glu-tRNA(Gln) in organisms which lack either or both of asparaginyl-tRNA or glutaminyl-tRNA synthetases. The reaction takes place in the presence of glutamine and ATP through an activated phospho-Asp-tRNA(Asn) or phospho-Glu-tRNA(Gln) (By similarity)
mluteus16	g000843		
mluteus16	g003915		ATP-binding protein
mluteus16	g000114		ATP-binding protein
mluteus16	g001295	"K03293,K11733"	permease
mluteus16	g000024	K00140	methylmalonate-semialdehyde dehydrogenase
mluteus16	g001467	K01897	Amp-dependent synthetase and ligase
mluteus16	g001212		ATP-binding protein
mluteus16	g001198	K08167	Major facilitator superfamily
mluteus16	g001337	"K00128,K00146"	Aldehyde dehydrogenase
mluteus16	g002747		UPF0061 protein
mluteus16	g001705	K03427	N-6 DNA Methylase
mluteus16	g003609	"K01264,K19701,K19702"	Aminopeptidase
mluteus16	g000089	K01251	May play a key role in the regulation of the intracellular concentration of adenosylhomocysteine (By similarity)
mluteus16	g002523	"K04042,K11528"	"Catalyzes the last two sequential reactions in the de novo biosynthetic pathway for UDP-N-acetylglucosamine (UDP- GlcNAc). The C-terminal domain catalyzes the transfer of acetyl group from acetyl coenzyme A to glucosamine-1-phosphate (GlcN-1-P) to produce N-acetylglucosamine-1-phosphate (GlcNAc-1-P), which is converted into UDP-GlcNAc by the transfer of uridine 5- monophosphate (from uridine 5-triphosphate), a reaction catalyzed by the N-terminal domain (By similarity)"
mluteus16	g003266	"K04042,K11528"	"Catalyzes the last two sequential reactions in the de novo biosynthetic pathway for UDP-N-acetylglucosamine (UDP- GlcNAc). The C-terminal domain catalyzes the transfer of acetyl group from acetyl coenzyme A to glucosamine-1-phosphate (GlcN-1-P) to produce N-acetylglucosamine-1-phosphate (GlcNAc-1-P), which is converted into UDP-GlcNAc by the transfer of uridine 5- monophosphate (from uridine 5-triphosphate), a reaction catalyzed by the N-terminal domain (By similarity)"
mluteus16	g003265		exopolysaccharide biosynthesis polyprenyl glycosylphosphotransferase (EC 2.7.8.6)
mluteus16	g000513		exopolysaccharide biosynthesis polyprenyl glycosylphosphotransferase (EC 2.7.8.6)
mluteus16	g000418	"K02316,K03086"	Sigma factors are initiation factors that promote the attachment of RNA polymerase to specific initiation sites and are then released (By similarity)
mluteus16	g001542	K06901	Xanthine uracil vitamin C permease
mluteus16	g002708	"K00382,K00627,K00658,K09699"	branched-chain alpha-keto acid dehydrogenase subunit E2
mluteus16	g000715	K01924	cell wall formation (By similarity)
mluteus16	g002521	K00135	Dehydrogenase
mluteus16	g002867	K01267	M18 family aminopeptidase
mluteus16	g002610	K00873	Pyruvate kinase
mluteus16	g000578		ATP-binding protein
mluteus16	g001529	K00130	Aldehyde dehydrogenase
mluteus16	g002915	"K02316,K03086"	Sigma factors are initiation factors that promote the attachment of RNA polymerase to specific initiation sites and are then released (By similarity)
